,Pertanyaan 1,Pertanyaan 2,Pertanyaan 3,Pertanyaan 4,Pertanyaan 5,Pertanyaan 6,Pertanyaan 7,Pertanyaan 8,Pertanyaan 9,Pertanyaan 10,Pertanyaan 11,Pertanyaan 12,Pertanyaan 13,Pertanyaan 14,Pertanyaan 15,Pertanyaan 16,Pertanyaan 17,Pertanyaan 18,Pertanyaan 19,Pertanyaan 20,Pertanyaan 21,Pertanyaan 22,Pertanyaan 23,Pertanyaan 24,Pertanyaan 25
1,4,4,2,4,4,4,1,2,4,3,2,2,3,4,2,4,3,4,1,3,2,1,3,4,3
2,5,5,5,5,5,5,1,1,5,5,3,2,2,2,2,3,2,3,1,2,2,2,4,4,2
3,5,5,5,5,5,5,5,2,5,5,4,4,3,4,1,2,2,2,2,5,4,3,3,4,3
4,5,5,5,5,5,5,4,4,5,5,2,2,2,2,1,3,3,3,3,3,3,4,3,5,3
5,5,5,5,5,4,5,4,3,5,5,2,2,3,2,2,4,3,2,2,1,2,1,4,3,2
6,5,5,5,5,4,5,3,2,5,4,2,1,2,3,3,4,4,3,2,2,1,2,1,2,3
7,5,5,5,5,4,5,3,1,5,4,2,2,4,4,2,4,4,4,4,4,2,2,3,3,3
8,5,5,5,5,5,5,2,2,5,5,2,2,2,3,1,4,2,1,1,1,1,1,2,1,1
9,5,4,4,5,5,4,3,4,5,5,2,2,1,4,2,4,2,2,2,2,4,2,2,4,2
10,5,5,4,4,2,4,2,2,5,4,3,2,2,4,3,3,3,3,3,3,4,4,3,3,3
11,5,5,4,4,4,5,3,3,5,4,2,2,1,2,2,3,3,3,3,2,2,4,3,3,2
12,4,5,5,5,5,5,2,1,5,3,2,2,2,3,3,4,3,3,2,3,1,3,4,4,3
13,5,4,4,5,5,5,1,2,5,5,2,1,3,4,3,5,5,5,2,2,2,3,4,3,2
14,5,5,5,5,5,4,4,4,5,5,1,1,1,1,1,3,3,2,1,1,5,5,4,2,2
15,5,5,5,5,3,5,3,4,5,5,4,4,3,4,4,5,5,5,3,5,2,1,4,5,4
16,5,5,5,5,5,4,5,5,5,4,1,1,1,2,2,4,3,4,1,4,1,2,2,4,2
17,5,5,5,5,5,4,4,4,5,5,2,4,4,4,2,4,3,3,3,2,3,2,2,4,2
18,5,5,5,5,5,5,2,5,5,4,2,2,2,5,3,5,3,3,2,5,5,3,2,2,4
19,5,5,5,5,5,5,4,5,5,4,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2
20,5,5,4,5,4,5,2,2,5,4,1,2,1,2,1,4,3,2,1,3,1,1,2,5,2
21,5,5,5,5,5,5,5,4,5,5,3,4,2,5,4,4,3,4,2,3,5,4,3,5,4
22,5,5,5,5,5,5,3,2,4,5,2,4,4,4,3,3,3,4,2,4,4,2,5,5,4
23,5,5,5,3,5,4,2,4,4,5,2,3,3,4,4,5,3,4,3,3,2,4,3,5,4
24,5,5,4,5,5,5,3,2,4,4,3,1,1,4,3,3,3,2,1,1,1,4,3,2,4
25,5,5,4,5,5,5,1,4,5,5,1,2,4,4,1,2,1,1,1,1,5,1,2,5,4
26,5,5,5,5,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,2,2,3
27,5,5,5,5,5,5,3,3,5,5,4,3,3,4,4,4,3,4,3,3,4,4,4,3,4
28,5,5,4,5,4,4,2,2,5,4,2,2,2,4,3,3,3,3,3,3,3,4,3,3,3
29,4,4,4,5,5,5,3,3,5,5,2,1,1,2,3,4,3,3,2,4,1,3,2,2,3
30,5,5,5,5,4,4,2,2,5,5,4,2,1,2,1,3,4,4,1,1,2,1,1,3,2
31,5,5,5,5,5,3,4,2,5,5,1,1,1,3,2,3,2,3,1,1,2,2,5,2,3
32,5,5,5,4,5,5,2,1,5,5,1,2,3,4,1,5,4,4,4,4,2,1,4,2,2
33,4,5,2,4,4,5,1,1,3,2,1,1,2,4,3,4,4,2,1,1,2,2,2,3,2
34,5,5,5,4,4,5,5,4,4,4,2,1,3,3,2,4,3,3,2,2,2,2,4,4,4
35,4,4,3,4,4,4,3,3,3,4,2,2,2,3,2,3,2,2,2,2,2,2,2,3,3
36,4,5,4,4,4,4,2,4,4,3,1,2,3,3,3,4,4,4,4,4,3,4,3,4,3
37,5,5,5,4,5,5,3,3,5,2,2,1,1,2,2,3,3,3,2,1,2,4,1,3,2
38,5,5,5,5,5,5,3,3,5,4,3,5,4,5,3,5,5,5,2,5,3,4,5,5,5
39,5,4,4,5,4,4,3,3,5,4,4,4,3,4,3,3,3,3,3,4,3,3,4,5,4
40,4,4,5,4,5,4,2,2,4,2,2,3,2,4,2,3,3,2,2,2,4,2,3,3,4
41,5,5,4,5,4,4,3,1,5,5,2,2,2,4,1,3,4,4,3,2,3,3,2,4,3
42,5,5,5,3,3,5,5,2,5,4,4,5,2,2,1,1,1,1,1,1,1,1,4,3,2
43,5,5,5,5,5,5,3,4,5,3,1,1,4,4,2,3,4,5,3,5,4,3,2,5,3
44,5,5,5,5,5,5,3,3,2,4,1,2,1,2,2,4,4,4,3,3,2,2,1,1,2
45,5,5,5,3,4,4,4,3,5,5,4,2,3,5,2,4,2,3,3,4,4,3,2,2,3
46,5,5,4,5,3,5,4,2,5,4,2,4,3,4,3,4,3,5,3,4,5,2,3,5,4
47,5,5,5,4,4,5,3,3,5,5,4,3,4,4,4,5,3,3,3,3,5,4,5,5,4
48,5,4,5,4,4,5,4,4,5,4,3,2,2,3,2,4,4,4,3,3,2,1,2,4,3
49,5,5,5,4,5,5,4,2,5,4,3,4,4,4,4,4,4,3,3,4,4,4,2,2,3
50,5,5,4,4,2,4,2,4,4,4,2,3,3,4,4,4,4,3,2,3,4,4,2,1,2
51,5,5,4,5,5,5,4,2,5,5,3,4,2,4,2,4,2,2,2,5,5,4,3,4,2
52,5,4,4,4,4,4,2,5,5,5,2,2,2,4,2,4,4,4,4,4,2,2,4,2,4
53,5,5,5,5,4,5,5,3,3,2,3,2,1,1,2,2,2,2,3,2,2,3,3,4,3
54,5,4,4,5,3,4,4,4,3,4,2,2,4,5,3,3,4,2,3,4,2,4,2,5,4
55,5,5,4,4,5,5,1,4,4,2,2,1,1,1,1,2,1,1,1,3,1,2,2,1,2
56,5,5,5,5,5,5,1,1,5,5,3,5,4,5,2,2,2,2,2,2,5,5,5,5,5
57,5,5,5,5,4,4,3,2,5,4,2,4,2,4,2,4,2,4,2,2,4,2,2,2,2
58,5,5,3,2,5,5,2,4,5,3,3,3,1,1,1,5,4,5,1,5,1,4,4,2,3
59,4,5,5,5,4,4,3,3,5,5,2,3,3,4,3,4,3,3,2,2,4,4,4,4,3
60,5,5,4,4,5,4,2,1,5,5,4,3,2,4,2,5,3,4,2,3,3,4,4,4,4
61,5,5,5,5,5,4,4,1,5,2,1,1,2,5,3,2,2,2,1,1,4,4,3,4,3
62,5,5,3,5,4,5,1,1,5,4,5,3,4,4,3,4,4,3,4,2,3,1,3,2,3
63,4,5,3,2,4,5,3,3,2,3,1,1,3,4,3,3,4,3,2,2,2,2,2,2,5
64,5,5,5,5,4,5,4,4,5,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4
65,5,5,4,5,4,4,2,4,5,5,2,1,2,4,2,4,3,2,2,4,3,2,2,1,2
66,5,4,4,5,4,5,2,2,4,5,2,1,2,2,1,3,3,4,1,1,1,4,1,4,5
67,5,4,4,4,4,4,4,3,5,3,1,2,1,1,1,1,1,1,1,3,3,1,1,1,2
68,4,4,4,4,4,4,4,3,3,3,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2
69,5,5,5,5,5,5,3,3,5,5,4,4,2,5,5,5,4,3,2,3,4,2,5,5,5
70,5,5,5,5,5,5,5,3,5,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
71,5,5,5,5,5,5,3,5,5,5,5,4,1,3,4,2,3,3,2,2,5,2,2,4,4
72,5,5,5,5,4,5,5,5,4,2,3,2,1,3,2,4,4,4,2,2,3,2,2,1,2
73,5,4,5,5,5,5,2,3,5,2,1,1,2,2,2,4,4,4,1,3,2,2,4,3,2
74,5,5,5,5,5,5,2,4,3,5,1,3,2,3,1,1,1,1,3,2,4,3,4,5,3
75,5,5,5,5,5,5,5,3,5,5,1,1,1,1,1,3,2,3,2,2,4,2,2,1,1
76,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5
77,5,5,5,5,4,5,5,2,4,4,2,2,1,4,2,4,4,5,3,3,2,3,3,2,2
78,4,4,5,3,5,5,5,4,5,3,5,4,3,4,5,4,5,4,5,3,5,5,3,5,3
79,4,4,4,4,4,4,2,4,5,4,2,3,4,4,2,4,4,3,2,3,2,4,4,4,2
80,5,5,5,5,5,4,5,3,5,5,5,5,4,4,3,4,4,4,2,2,4,3,5,5,3
81,5,5,5,5,3,5,3,3,5,4,2,3,2,3,2,3,3,3,2,4,5,2,2,2,2
82,5,5,5,5,5,5,1,5,5,5,3,3,1,5,1,2,1,1,1,5,1,3,5,3,3
83,5,5,5,5,5,5,5,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,5,5,5,5,4,5,3,4,5,5,3,2,2,4,2,2,3,2,3,2,5,1,4,5,4
85,5,4,5,5,5,4,3,3,5,4,2,1,3,4,3,2,2,2,2,3,3,3,1,2,3
86,5,5,5,5,5,5,4,4,5,5,2,2,3,4,3,5,5,5,3,3,4,2,4,5,5
87,4,4,4,4,4,4,4,3,3,2,2,2,1,2,2,2,2,2,2,1,2,2,3,3,3
88,4,4,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2
89,5,5,5,5,5,5,1,1,5,5,4,3,1,4,1,2,3,2,1,4,5,1,1,4,3
